"id","clim_year","clim_month","clim_date","CMD","DD_0_","DD_18_","DD18_","DD5_","Eref","NFFD","PAS","ppt_mm","Rad","RH","tave","tmax","tmin"
"JEPS100507",1901,7,190107,238,0,1,240,641,238,31,0,0,-9999,40,25.7,37.5,13.9
"JEPS100507",1901,8,190108,207,0,1,229,629,207,31,0,0,-9999,43,25.4,36.3,14.4
"JEPS100507",1901,9,190109,142,0,27,87,450,145,29,0,3,-9999,42,20,30.7,9.3
"JEPS100507",1901,10,190110,97,0,41,54,425,103,31,0,6,-9999,49,18.8,27.7,9.8
"JEPS100507",1901,11,190111,35,1,142,7,262,61,27,0,26,-9999,52,13.7,21.6,5.8
"JEPS100507",1901,12,190112,44,8,310,0,104,46,13,0,2,-9999,48,7.9,16.4,-0.5
"OBI62188",1901,1,190101,2,9,321,0,97,45,19,1,44,-9999,60,7.8,14,1.6
"OBI62188",1901,2,190102,6,7,269,0,100,54,19,0,48,-9999,60,8.2,14.5,2
"OBI62188",1901,3,190103,87,4,260,0,149,91,20,0,4,-9999,51,9.7,17.7,1.7
"OBI62188",1901,4,190104,80,1,229,1,166,105,23,0,25,-9999,54,10.4,17.8,3.1
"OBI62188",1901,5,190105,125,0,123,10,300,137,30,0,12,-9999,57,14.6,21.7,7.4
"OBI62188",1901,6,190106,185,0,39,52,400,186,29,0,1,-9999,42,18.3,28.9,7.8
"OBI62188",1901,7,190107,214,0,4,157,558,218,31,0,4,-9999,42,23,34.1,12
"OBI62188",1901,8,190108,196,0,4,168,568,196,31,0,0,-9999,44,23.4,33.8,12.9
"OBI62188",1901,9,190109,115,0,39,62,413,132,30,0,16,-9999,49,18.8,27.7,9.9
"OBI62188",1901,10,190110,74,0,70,26,369,96,31,0,22,-9999,53,16.9,24.9,8.9
"OBI62188",1901,11,190111,52,1,181,2,218,59,26,0,6,-9999,56,12.2,19.4,5
"OBI62188",1901,12,190112,47,7,290,0,121,49,16,0,3,-9999,50,8.6,16.7,0.5
"RSA0029044",1901,1,190101,0,9,315,0,102,43,22,1,48,-9999,64,8,13.5,2.4
"RSA0029044",1901,2,190102,0,8,276,0,94,51,20,0,53,-9999,64,8,13.6,2.4
"RSA0029044",1901,3,190103,83,4,264,0,146,87,21,0,4,-9999,54,9.6,17,2.1
"RSA0029044",1901,4,190104,73,1,228,1,168,101,25,0,28,-9999,58,10.5,17.3,3.7
"RSA0029044",1901,5,190105,115,0,127,9,295,130,30,0,15,-9999,60,14.4,21,7.9
"RSA0029044",1901,6,190106,178,0,43,48,393,179,30,0,1,-9999,45,18.1,28,8.2
"RSA0029044",1901,7,190107,204,0,4,150,551,209,31,0,4,-9999,45,22.8,33,12.6
"RSA0029044",1901,8,190108,186,0,4,163,563,187,31,0,1,-9999,48,23.2,32.8,13.6
"RSA0029044",1901,9,190109,108,0,41,60,409,126,30,0,17,-9999,53,18.6,26.8,10.5
"RSA0029044",1901,10,190110,69,0,68,28,372,92,31,0,23,-9999,57,17,24.2,9.8
"RSA0029044",1901,11,190111,49,1,177,2,222,56,27,0,7,-9999,60,12.3,18.8,5.9
"RSA0029044",1901,12,190112,44,7,284,1,126,47,19,0,3,-9999,54,8.8,16,1.5
"RSA116506",1901,1,190101,0,8,309,0,107,46,19,1,72,-9999,58,8.2,14.8,1.5
"RSA116506",1901,2,190102,0,4,217,0,148,57,23,0,70,-9999,61,10.1,16.3,3.9
"RSA116506",1901,3,190103,86,3,230,1,178,93,22,0,8,-9999,51,10.6,18.7,2.5
"RSA116506",1901,4,190104,100,1,184,3,219,122,24,0,22,-9999,47,12.2,21.1,3.4
"RSA116506",1901,5,190105,129,0,75,24,360,153,30,0,24,-9999,53,16.6,24.6,8.6
"RSA116506",1901,6,190106,196,0,20,85,452,196,30,0,0,-9999,42,20.1,30.8,9.4
"RSA116506",1901,7,190107,228,0,2,211,612,228,31,0,0,-9999,41,24.8,36,13.5
"RSA116506",1901,8,190108,198,0,2,194,595,198,31,0,0,-9999,45,24.2,34.6,13.8
"RSA116506",1901,9,190109,135,0,34,71,427,144,29,0,8,-9999,42,19.2,29.8,8.6
"RSA116506",1901,10,190110,98,0,66,29,376,103,30,0,5,-9999,47,17.1,26.5,7.8
"RSA116506",1901,11,190111,49,1,171,3,229,62,25,0,13,-9999,50,12.6,20.8,4.3
"RSA116506",1901,12,190112,48,8,308,0,106,51,11,0,3,-9999,43,8,17.4,-1.4
"RSA599543",1901,1,190101,0,7,295,0,120,43,24,1,56,-9999,66,8.6,13.8,3.4
"RSA599543",1901,2,190102,0,9,289,0,83,48,20,1,85,-9999,66,7.5,12.6,2.4
"RSA599543",1901,3,190103,77,5,280,0,131,88,19,0,10,-9999,52,9.1,16.8,1.3
"RSA599543",1901,4,190104,71,2,233,1,161,105,23,0,35,-9999,54,10.3,17.7,2.8
"RSA599543",1901,5,190105,104,0,149,7,271,132,29,0,27,-9999,57,13.6,20.6,6.6
"RSA599543",1901,6,190106,171,0,39,52,400,171,30,0,0,-9999,50,18.4,27.2,9.5
"RSA599543",1901,7,190107,199,0,3,164,565,199,31,0,0,-9999,50,23.2,32.4,14.1
"RSA599543",1901,8,190108,180,0,3,168,568,180,31,0,0,-9999,51,23.4,32.2,14.6
"RSA599543",1901,9,190109,115,0,43,58,405,124,30,0,8,-9999,54,18.5,26.5,10.5
"RSA599543",1901,10,190110,55,0,83,20,349,89,31,0,34,-9999,58,16.2,23.3,9.2
"RSA599543",1901,11,190111,54,1,172,3,229,59,27,0,5,-9999,57,12.6,19.5,5.6
"RSA599543",1901,12,190112,36,7,294,0,117,44,21,0,8,-9999,59,8.4,14.8,2.1
"RSA614188",1901,1,190101,0,8,301,0,114,43,24,1,58,-9999,66,8.4,13.6,3.3
"RSA614188",1901,2,190102,0,10,301,0,74,46,19,1,89,-9999,67,7.1,12.1,2.1
"RSA614188",1901,3,190103,75,6,296,0,116,85,18,0,10,-9999,52,8.5,16.2,0.9
"RSA614188",1901,4,190104,67,2,250,1,146,103,21,0,35,-9999,54,9.7,17,2.4
"RSA614188",1901,5,190105,100,0,165,5,254,128,29,0,28,-9999,58,13.1,20,6.2
"RSA614188",1901,6,190106,166,0,45,45,387,166,30,0,0,-9999,51,17.9,26.5,9.4
"RSA614188",1901,7,190107,194,0,4,152,553,194,31,0,0,-9999,51,22.9,31.7,14
"RSA614188",1901,8,190108,175,0,4,158,559,175,31,0,0,-9999,53,23.1,31.5,14.6
"RSA614188",1901,9,190109,112,0,47,53,396,121,30,0,9,-9999,55,18.2,25.9,10.5
"RSA614188",1901,10,190110,52,0,91,17,338,87,31,0,35,-9999,59,15.9,22.7,9.1
"RSA614188",1901,11,190111,53,1,177,2,223,58,27,0,5,-9999,58,12.4,19.2,5.5
"RSA614188",1901,12,190112,34,8,300,0,112,43,21,0,8,-9999,60,8.3,14.5,2
